                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6723,                 1.0767,                 1.4877,                0.74387,                0.71747,                0.75959,                0.38802,                 1.8698,                  1.247,                  1.873,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.6452,                 1.0645,                 1.4689,                0.73678,                0.69888,                 0.7506,                0.38607,                 1.8422,                 1.2216,                 1.8336,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.6254,                 1.0598,                  1.462,                0.73883,                0.69765,                0.75127,                0.39816,                 1.8212,                 1.2731,                 1.8184,               0.001307,               0.001307,               0.001307
                     38,                   1.62,                 1.0492,                 1.4468,                0.75302,                0.71004,                0.77599,                0.40555,                 1.8048,                 1.1753,                 1.8141,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6178,                 1.0354,                 1.4479,                0.73205,                0.72243,                0.75208,                 0.4012,                  1.808,                 1.1884,                 1.8351,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.6238,                  1.027,                 1.4412,                0.72672,                0.73482,                0.76223,                0.41047,                 1.7819,                 1.1931,                 1.8162,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6139,                 1.0322,                 1.4308,                0.72694,                0.74969,                0.76412,                0.39627,                 1.8194,                 1.1687,                  1.829,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.6269,                 1.0269,                 1.4414,                0.75699,                0.71995,                0.77424,                0.41245,                 1.7828,                  1.116,                 1.7883,               0.001208,               0.001208,               0.001208
                     43,                 1.5789,                 1.0176,                 1.4264,                0.71352,                0.73606,                0.75615,                0.39702,                 1.8068,                 1.1781,                 1.8281,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.5663,                 1.0018,                  1.439,                0.75134,                0.73606,                0.77482,                0.41392,                 1.7883,                 1.1606,                 1.8021,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5927,                  1.003,                 1.4272,                0.74152,                0.74102,                0.77569,                0.40539,                 1.8037,                 1.1746,                 1.8234,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.5932,                0.99794,                 1.4365,                0.70843,                0.73163,                0.73808,                0.40266,                  1.764,                 1.2022,                 1.8053,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5896,                0.98777,                 1.4198,                0.71613,                0.74102,                0.75724,                0.40745,                 1.8031,                 1.1916,                 1.8286,               0.001109,               0.001109,               0.001109
                     48,                 1.5564,                 0.9872,                 1.4084,                0.72034,                0.72243,                0.74529,                0.39489,                 1.8097,                 1.1918,                 1.8359,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.5679,                0.97492,                  1.419,                0.73632,                0.72322,                0.74263,                0.39675,                 1.7795,                  1.152,                 1.8076,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.5903,                  1.007,                 1.4216,                0.73023,                0.75135,                0.76165,                0.40764,                 1.7959,                 1.1698,                 1.8565,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5636,                0.97018,                 1.4075,                0.74023,                0.74845,                0.77141,                0.41489,                  1.774,                  1.118,                   1.82,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5419,                 0.9691,                 1.3991,                 0.7464,                0.72576,                0.76844,                  0.411,                   1.77,                 1.1165,                 1.8099,                0.00101,                0.00101,                0.00101
                     53,                 1.5346,                0.97327,                 1.4124,                0.77102,                0.72367,                0.78026,                0.42052,                 1.7691,                 1.1238,                 1.7886,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.5391,                0.97376,                 1.3947,                 0.7526,                0.72753,                0.78257,                0.42284,                  1.742,                 1.0848,                 1.7983,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.5277,                0.96719,                 1.4051,                0.75735,                0.72325,                0.77046,                0.41768,                 1.7604,                 1.1287,                 1.8053,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5139,                 0.9521,                 1.3648,                0.72766,                0.73234,                 0.7759,                0.41623,                 1.7614,                 1.1261,                 1.8049,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4905,                 0.9226,                 1.3717,                0.72442,                0.75341,                0.77167,                 0.4078,                 1.7867,                  1.118,                 1.8313,               0.000911,               0.000911,               0.000911
                     58,                 1.5324,                0.94559,                 1.3825,                0.75091,                0.72843,                0.76624,                0.41685,                 1.7629,                  1.105,                  1.834,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5134,                 0.9355,                 1.3817,                0.73077,                0.74102,                0.76039,                0.39184,                 1.8132,                 1.1115,                 1.8375,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.5235,                0.92818,                 1.3644,                0.73599,                0.73235,                 0.7469,                0.41542,                 1.7094,                 1.1026,                 1.7833,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.4871,                0.92728,                 1.3596,                0.75451,                0.72743,                0.75955,                0.41786,                 1.7476,                 1.0977,                 1.8044,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.4949,                0.91913,                  1.378,                0.73621,                 0.7373,                0.75479,                0.41031,                  1.762,                 1.1337,                 1.8123,               0.000812,               0.000812,               0.000812
                     63,                 1.4798,                0.91797,                 1.3696,                0.72289,                0.74102,                0.75585,                0.41719,                 1.7278,                 1.1068,                 1.8082,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.4861,                0.93067,                 1.3644,                0.74071,                0.74226,                0.77758,                0.42619,                 1.7284,                 1.0896,                 1.7917,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.4738,                0.92018,                 1.3804,                0.73415,                 0.7373,                0.76788,                0.42406,                 1.7141,                 1.0768,                 1.8146,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.4602,                0.90198,                 1.3444,                 0.7451,                0.75093,                0.76903,                0.41667,                 1.7309,                 1.0795,                 1.8181,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.4812,                0.90544,                 1.3656,                0.74246,                0.73947,                0.76429,                0.41762,                  1.739,                 1.1018,                 1.8244,               0.000713,               0.000713,               0.000713
                     68,                 1.4731,                0.90088,                 1.3546,                0.75258,                0.73499,                0.78431,                0.43109,                   1.73,                 1.0713,                 1.7811,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4744,                0.92543,                 1.3518,                0.73378,                 0.7596,                 0.7793,                0.43323,                 1.7256,                  1.062,                 1.7839,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.4749,                0.91057,                 1.3696,                0.76568,                 0.7373,                0.77428,                0.43461,                  1.716,                 1.0533,                 1.8019,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4445,                 0.8749,                 1.3449,                0.75671,                 0.7477,                0.77425,                0.43149,                 1.7089,                 1.0567,                 1.7943,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.4395,                0.88151,                 1.3469,                0.76925,                0.74102,                0.79184,                0.44889,                 1.6889,                 1.0518,                  1.761,               0.000614,               0.000614,               0.000614
                     73,                  1.452,                0.87477,                 1.3313,                0.75402,                0.73309,                0.77419,                0.42471,                 1.7329,                 1.0494,                 1.8235,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.4461,                  0.895,                  1.339,                0.73737,                  0.772,                0.79706,                0.44202,                 1.7122,                 1.0254,                 1.7992,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.4475,                0.86575,                 1.3339,                0.74387,                0.74226,                 0.7684,                0.43009,                 1.7059,                 1.0433,                 1.7875,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.4313,                0.86177,                 1.3388,                0.73099,                0.76332,                0.77939,                0.43871,                 1.7167,                 1.0075,                 1.8009,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.4125,                0.87231,                 1.3338,                 0.7058,                0.73427,                 0.7497,                0.41466,                 1.6999,                 1.0666,                 1.8112,               0.000515,               0.000515,               0.000515
                     78,                 1.4444,                0.86609,                 1.3376,                 0.7513,                0.77112,                 0.7907,                0.44275,                 1.6975,                 1.0284,                 1.7885,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.4119,                0.85284,                 1.3205,                0.76381,                0.76208,                0.79336,                 0.4417,                  1.703,                 1.0036,                 1.8008,              0.0004754,              0.0004754,              0.0004754
